Código_Sensor,Número_Chip,Código_Módulo,Controle_Qualidade,Status_Sensor,Mudança_Status,Solução_Incremental,Usabilidade
0,59122,498325,Regular,Não Funcional,Não Funcional,Sim,Não usável
1,72305,707357,Bom,Não Funcional,Não Funcional,Sim,Usável
2,54801,212354,Bom,Funcional,Não Funcional,Não,Não usável
3,89638,875240,Bom,Não Funcional,Não Funcional,Não,Usável
4,57039,512190,Bom,Funcional,Não Funcional,Sim,Usável
5,34686,446405,Ruim,Funcional,Não Funcional,Sim,Usável
6,20745,146729,Bom,Não Funcional,Funcional,Não,Usável
7,70644,932835,Regular,Funcional,Não Funcional,Não,Usável
8,47584,997223,Ruim,Funcional,Não Funcional,Não,Usável
9,76873,187171,Ruim,Não Funcional,Funcional,Sim,Usável
10,56161,927190,Bom,Não Funcional,Funcional,Sim,Usável
11,27403,665963,Regular,Não Funcional,Funcional,Não,Usável
12,31882,940126,Ruim,Não Funcional,Não Funcional,Não,Não usável
13,58813,957937,Bom,Funcional,Não Funcional,Não,Usável
14,61310,956605,Bom,Não Funcional,Não Funcional,Não,Não usável
15,15123,158842,Ruim,Não Funcional,Não Funcional,Sim,Não usável
16,99928,673941,Ruim,Não Funcional,Não Funcional,Sim,Usável
17,36301,247545,Bom,Funcional,Não Funcional,Não,Não usável
18,40031,556900,Ruim,Não Funcional,Não Funcional,Não,Não usável
19,15408,339831,Regular,Funcional,Não Funcional,Não,Não usável
20,27377,348160,Ruim,Não Funcional,Funcional,Sim,Não usável
21,25115,536357,Ruim,Não Funcional,Não Funcional,Não,Não usável
22,23878,368784,Bom,Funcional,Funcional,Sim,Não usável
23,85952,605801,Ruim,Funcional,Não Funcional,Não,Não usável
24,33569,761520,Ruim,Não Funcional,Não Funcional,Não,Não usável
25,46678,720016,Ruim,Não Funcional,Não Funcional,Não,Não usável
26,23698,340340,Ruim,Funcional,Funcional,Não,Usável
27,70406,219436,Bom,Não Funcional,Funcional,Sim,Usável
28,38177,238251,Ruim,Funcional,Funcional,Sim,Não usável
29,56776,363414,Bom,Não Funcional,Não Funcional,Não,Não usável
30,41480,635623,Bom,Funcional,Não Funcional,Sim,Não usável
31,16634,971350,Bom,Funcional,Não Funcional,Não,Usável
32,88705,377430,Ruim,Funcional,Não Funcional,Sim,Usável
33,84279,270488,Ruim,Funcional,Funcional,Não,Não usável
34,36655,289999,Bom,Não Funcional,Não Funcional,Não,Não usável
35,64064,493089,Bom,Funcional,Não Funcional,Não,Usável
36,43999,512703,Regular,Funcional,Funcional,Não,Usável
37,65325,968265,Ruim,Funcional,Não Funcional,Não,Não usável
38,40416,552383,Regular,Não Funcional,Funcional,Não,Usável
39,51923,683554,Regular,Não Funcional,Não Funcional,Não,Não usável
40,19691,147081,Regular,Não Funcional,Não Funcional,Sim,Usável
41,91335,115720,Regular,Funcional,Não Funcional,Não,Usável
42,95465,672023,Regular,Funcional,Funcional,Sim,Usável
43,34480,586380,Regular,Funcional,Funcional,Sim,Não usável
44,27387,120206,Regular,Funcional,Funcional,Sim,Usável
45,86449,684724,Bom,Não Funcional,Funcional,Não,Usável
46,31345,186601,Regular,Não Funcional,Funcional,Sim,Não usável
47,61689,672413,Regular,Funcional,Funcional,Não,Usável
48,95970,460888,Bom,Não Funcional,Não Funcional,Sim,Usável
49,89175,776975,Ruim,Não Funcional,Não Funcional,Não,Usável
50,27685,702939,Regular,Não Funcional,Não Funcional,Não,Não usável
51,55242,628246,Regular,Funcional,Funcional,Não,Usável
52,93551,598608,Ruim,Funcional,Não Funcional,Não,Usável
53,81650,922555,Regular,Funcional,Funcional,Sim,Não usável
54,15409,602919,Ruim,Funcional,Funcional,Sim,Usável
55,18482,321367,Ruim,Não Funcional,Não Funcional,Sim,Não usável
