Código_Sensor,Número_Chip,Código_Módulo,Controle_Qualidade,Status_Sensor,Mudança_Status,Solução_Incremental,Usabilidade
0,75237,756696,Bom,Não Funcional,Funcional,Não,Usável
1,91659,382230,Ruim,Funcional,Funcional,Sim,Não usável
2,47227,365615,Bom,Funcional,Não Funcional,Não,Não usável
3,73012,921149,Ruim,Funcional,Funcional,Não,Não usável
4,94602,139499,Ruim,Não Funcional,Funcional,Não,Usável
5,32746,897128,Bom,Funcional,Não Funcional,Não,Não usável
6,95551,814851,Regular,Não Funcional,Não Funcional,Sim,Usável
7,68599,461056,Regular,Funcional,Não Funcional,Não,Usável
8,26416,912905,Regular,Funcional,Funcional,Sim,Não usável
9,58851,905901,Bom,Não Funcional,Não Funcional,Não,Usável
10,69803,212754,Regular,Funcional,Funcional,Não,Não usável
11,88408,877918,Bom,Não Funcional,Não Funcional,Não,Não usável
12,63030,102093,Bom,Funcional,Funcional,Não,Usável
13,42891,538257,Regular,Funcional,Não Funcional,Sim,Não usável
14,93807,690285,Bom,Não Funcional,Não Funcional,Sim,Não usável
15,14113,795881,Regular,Funcional,Não Funcional,Sim,Usável
16,27464,745145,Bom,Não Funcional,Não Funcional,Sim,Usável
17,74840,333528,Bom,Funcional,Não Funcional,Não,Usável
18,87372,783700,Regular,Não Funcional,Funcional,Sim,Usável
19,32781,206441,Bom,Não Funcional,Não Funcional,Não,Não usável
20,93301,321041,Bom,Funcional,Não Funcional,Não,Não usável
21,53292,235639,Ruim,Não Funcional,Funcional,Não,Não usável
22,12181,183445,Regular,Não Funcional,Funcional,Sim,Usável
23,94148,705755,Ruim,Funcional,Funcional,Não,Usável
24,93650,679524,Regular,Não Funcional,Não Funcional,Não,Não usável
25,81093,758088,Bom,Não Funcional,Não Funcional,Sim,Não usável
26,88147,286536,Bom,Funcional,Funcional,Não,Usável
27,56367,355766,Ruim,Funcional,Não Funcional,Sim,Não usável
28,24903,942875,Ruim,Não Funcional,Funcional,Sim,Não usável
29,71546,923448,Regular,Não Funcional,Não Funcional,Sim,Usável
30,60858,461839,Ruim,Funcional,Não Funcional,Sim,Usável
31,50097,920781,Regular,Funcional,Não Funcional,Sim,Não usável
32,88725,252667,Ruim,Não Funcional,Não Funcional,Não,Não usável
33,87451,804322,Regular,Funcional,Não Funcional,Sim,Usável
