Código_Sensor,Número_Chip,Código_Módulo,Controle_Qualidade,Status_Sensor,Mudança_Status,Solução_Incremental,Usabilidade
0,57876,470755,Regular,Funcional,Não Funcional,Sim,Não usável
1,93170,772488,Bom,Funcional,Não Funcional,Sim,Usável
2,22145,388224,Regular,Funcional,Funcional,Sim,Usável
3,40913,560684,Regular,Não Funcional,Não Funcional,Não,Não usável
4,74821,251997,Ruim,Funcional,Não Funcional,Não,Usável
5,93479,557957,Bom,Não Funcional,Funcional,Não,Usável
6,74197,333195,Regular,Não Funcional,Funcional,Não,Usável
7,93869,694005,Ruim,Não Funcional,Funcional,Sim,Usável
8,86330,517724,Bom,Funcional,Não Funcional,Sim,Usável
9,67651,494046,Ruim,Não Funcional,Não Funcional,Sim,Não usável
10,62665,364503,Regular,Funcional,Não Funcional,Sim,Não usável
11,69081,627133,Ruim,Funcional,Funcional,Sim,Não usável
12,84103,675032,Ruim,Não Funcional,Não Funcional,Sim,Usável
13,71577,524421,Bom,Não Funcional,Funcional,Não,Usável
14,85007,540798,Ruim,Não Funcional,Não Funcional,Sim,Usável
15,59032,985396,Bom,Funcional,Funcional,Não,Não usável
16,28708,983033,Bom,Funcional,Funcional,Sim,Usável
17,10039,677431,Ruim,Não Funcional,Funcional,Sim,Não usável
18,71375,352915,Regular,Não Funcional,Funcional,Sim,Usável
19,47404,157064,Regular,Funcional,Funcional,Sim,Não usável
20,85448,563104,Ruim,Não Funcional,Funcional,Sim,Usável
21,56317,906136,Regular,Não Funcional,Funcional,Não,Usável
22,79162,215935,Regular,Não Funcional,Funcional,Não,Usável
23,62090,751937,Ruim,Não Funcional,Não Funcional,Sim,Não usável
24,76841,539141,Bom,Funcional,Funcional,Sim,Usável
25,54694,738648,Ruim,Não Funcional,Não Funcional,Sim,Usável
26,12886,596417,Regular,Não Funcional,Funcional,Não,Usável
27,47625,993074,Regular,Funcional,Não Funcional,Sim,Não usável
28,41930,945919,Regular,Não Funcional,Funcional,Sim,Não usável
29,87622,758079,Bom,Não Funcional,Funcional,Não,Usável
30,62660,737381,Regular,Não Funcional,Funcional,Sim,Não usável
31,75212,227010,Bom,Funcional,Funcional,Não,Usável
32,17372,438834,Ruim,Funcional,Funcional,Não,Não usável
33,65251,901011,Ruim,Não Funcional,Funcional,Não,Não usável
34,67824,939062,Ruim,Não Funcional,Funcional,Não,Usável
35,72056,863779,Bom,Funcional,Não Funcional,Não,Usável
36,59714,345039,Ruim,Não Funcional,Funcional,Sim,Não usável
37,82921,852972,Bom,Não Funcional,Funcional,Não,Usável
38,76113,613013,Regular,Não Funcional,Não Funcional,Não,Usável
39,14621,710022,Regular,Funcional,Não Funcional,Não,Não usável
