,Sensor,Controle_Qualidade,Status_Sensor,Mudança_Status,Solução_Incremental,Usabilidade
0,Sensor 0,Regular,Não Funcional,Não Funcional,Não,Usável
1,Sensor 1,Ruim,Não Funcional,Não Funcional,Não,Usável
2,Sensor 2,Regular,Não Funcional,Não Funcional,Sim,Usável
3,Sensor 3,Regular,Não Funcional,Não Funcional,Não,Não usável
4,Sensor 4,Ruim,Funcional,Funcional,Sim,Não usável
5,Sensor 5,Regular,Funcional,Funcional,Não,Não usável
6,Sensor 6,Bom,Funcional,Não Funcional,Sim,Usável
7,Sensor 7,Regular,Não Funcional,Não Funcional,Sim,Não usável
8,Sensor 8,Bom,Não Funcional,Funcional,Não,Usável
9,Sensor 9,Regular,Não Funcional,Não Funcional,Não,Não usável
10,Sensor 10,Bom,Não Funcional,Não Funcional,Sim,Usável
11,Sensor 11,Bom,Funcional,Funcional,Não,Usável
12,Sensor 12,Bom,Não Funcional,Não Funcional,Sim,Não usável
13,Sensor 13,Ruim,Não Funcional,Funcional,Não,Usável
14,Sensor 14,Bom,Funcional,Não Funcional,Não,Usável
15,Sensor 15,Ruim,Funcional,Não Funcional,Sim,Usável
16,Sensor 16,Ruim,Funcional,Funcional,Sim,Não usável
17,Sensor 17,Regular,Funcional,Funcional,Sim,Não usável
18,Sensor 18,Bom,Não Funcional,Funcional,Não,Não usável
19,Sensor 19,Bom,Não Funcional,Não Funcional,Sim,Não usável
20,Sensor 20,Bom,Não Funcional,Não Funcional,Sim,Usável
21,Sensor 21,Bom,Funcional,Não Funcional,Não,Não usável
22,Sensor 22,Regular,Não Funcional,Funcional,Sim,Não usável
23,Sensor 23,Ruim,Funcional,Funcional,Não,Não usável
24,Sensor 24,Ruim,Não Funcional,Não Funcional,Sim,Usável
25,Sensor 25,Bom,Funcional,Não Funcional,Não,Usável
26,Sensor 26,Bom,Não Funcional,Não Funcional,Não,Usável
27,Sensor 27,Regular,Não Funcional,Não Funcional,Não,Não usável
28,Sensor 28,Regular,Não Funcional,Funcional,Sim,Usável
29,Sensor 29,Bom,Não Funcional,Funcional,Sim,Usável
30,Sensor 30,Bom,Funcional,Funcional,Não,Usável
31,Sensor 31,Ruim,Não Funcional,Não Funcional,Sim,Não usável
32,Sensor 32,Bom,Não Funcional,Não Funcional,Sim,Não usável
33,Sensor 33,Bom,Não Funcional,Funcional,Não,Usável
34,Sensor 34,Ruim,Não Funcional,Funcional,Não,Não usável
35,Sensor 35,Regular,Não Funcional,Não Funcional,Sim,Usável
36,Sensor 36,Ruim,Não Funcional,Não Funcional,Sim,Usável
37,Sensor 37,Bom,Não Funcional,Não Funcional,Não,Usável
38,Sensor 38,Regular,Não Funcional,Funcional,Sim,Não usável
39,Sensor 39,Ruim,Funcional,Funcional,Não,Não usável
40,Sensor 40,Ruim,Não Funcional,Funcional,Não,Usável
41,Sensor 41,Regular,Funcional,Não Funcional,Sim,Não usável
42,Sensor 42,Regular,Funcional,Não Funcional,Sim,Não usável
43,Sensor 43,Bom,Funcional,Não Funcional,Não,Usável
44,Sensor 44,Bom,Não Funcional,Funcional,Sim,Usável
45,Sensor 45,Regular,Funcional,Não Funcional,Não,Não usável
46,Sensor 46,Ruim,Não Funcional,Não Funcional,Sim,Usável
47,Sensor 47,Bom,Funcional,Funcional,Sim,Usável
48,Sensor 48,Ruim,Funcional,Funcional,Não,Usável
49,Sensor 49,Ruim,Funcional,Funcional,Não,Não usável
50,Sensor 50,Regular,Funcional,Funcional,Não,Não usável
51,Sensor 51,Ruim,Funcional,Não Funcional,Sim,Usável
52,Sensor 52,Regular,Funcional,Não Funcional,Não,Usável
53,Sensor 53,Regular,Funcional,Funcional,Não,Usável
54,Sensor 54,Ruim,Não Funcional,Funcional,Sim,Usável
55,Sensor 55,Bom,Não Funcional,Funcional,Não,Usável
