,Sensor,Controle_Qualidade,Status_Sensor,Mudança_Status,Solução_Incremental,Usabilidade
0,Sensor 0,Ruim,Funcional,Não Funcional,Sim,Usável
1,Sensor 1,Regular,Não Funcional,Não Funcional,Sim,Não usável
2,Sensor 2,Bom,Funcional,Funcional,Sim,Não usável
3,Sensor 3,Ruim,Não Funcional,Funcional,Sim,Usável
4,Sensor 4,Regular,Funcional,Não Funcional,Não,Usável
5,Sensor 5,Ruim,Funcional,Funcional,Não,Não usável
6,Sensor 6,Ruim,Não Funcional,Funcional,Sim,Usável
7,Sensor 7,Regular,Não Funcional,Não Funcional,Não,Usável
8,Sensor 8,Bom,Funcional,Não Funcional,Não,Usável
9,Sensor 9,Bom,Funcional,Funcional,Não,Não usável
10,Sensor 10,Regular,Não Funcional,Funcional,Não,Não usável
11,Sensor 11,Bom,Não Funcional,Não Funcional,Não,Não usável
12,Sensor 12,Ruim,Não Funcional,Não Funcional,Sim,Não usável
13,Sensor 13,Bom,Não Funcional,Não Funcional,Sim,Não usável
14,Sensor 14,Bom,Funcional,Não Funcional,Não,Não usável
15,Sensor 15,Bom,Funcional,Funcional,Não,Não usável
16,Sensor 16,Regular,Não Funcional,Funcional,Não,Usável
17,Sensor 17,Bom,Funcional,Não Funcional,Não,Não usável
18,Sensor 18,Ruim,Funcional,Não Funcional,Sim,Não usável
19,Sensor 19,Regular,Não Funcional,Não Funcional,Sim,Não usável
20,Sensor 20,Ruim,Não Funcional,Funcional,Não,Não usável
21,Sensor 21,Regular,Não Funcional,Funcional,Sim,Não usável
22,Sensor 22,Ruim,Não Funcional,Funcional,Sim,Usável
23,Sensor 23,Bom,Funcional,Funcional,Não,Usável
24,Sensor 24,Ruim,Não Funcional,Funcional,Não,Não usável
25,Sensor 25,Ruim,Não Funcional,Funcional,Não,Usável
26,Sensor 26,Ruim,Funcional,Não Funcional,Sim,Usável
27,Sensor 27,Ruim,Funcional,Funcional,Não,Não usável
28,Sensor 28,Bom,Não Funcional,Funcional,Não,Usável
29,Sensor 29,Bom,Não Funcional,Funcional,Não,Usável
30,Sensor 30,Regular,Funcional,Funcional,Sim,Usável
31,Sensor 31,Bom,Funcional,Não Funcional,Sim,Usável
32,Sensor 32,Bom,Não Funcional,Funcional,Sim,Não usável
33,Sensor 33,Bom,Funcional,Funcional,Sim,Usável
34,Sensor 34,Regular,Funcional,Não Funcional,Sim,Não usável
35,Sensor 35,Regular,Não Funcional,Funcional,Não,Não usável
36,Sensor 36,Ruim,Funcional,Não Funcional,Não,Usável
37,Sensor 37,Ruim,Não Funcional,Funcional,Sim,Usável
38,Sensor 38,Ruim,Não Funcional,Funcional,Sim,Não usável
39,Sensor 39,Bom,Não Funcional,Não Funcional,Sim,Não usável
40,Sensor 40,Regular,Funcional,Funcional,Sim,Não usável
41,Sensor 41,Regular,Funcional,Não Funcional,Não,Não usável
42,Sensor 42,Bom,Funcional,Não Funcional,Sim,Usável
43,Sensor 43,Ruim,Funcional,Funcional,Sim,Não usável
44,Sensor 44,Ruim,Não Funcional,Não Funcional,Sim,Usável
45,Sensor 45,Bom,Funcional,Não Funcional,Não,Usável
