,Sensor,Controle_Qualidade,Status_Sensor,Mudança_Status,Solução_Incremental,Usabilidade
0,Sensor 0,Ruim,Não Funcional,Funcional,Sim,Usável
1,Sensor 1,Ruim,Não Funcional,Funcional,Sim,Usável
2,Sensor 2,Regular,Funcional,Não Funcional,Não,Não usável
3,Sensor 3,Regular,Funcional,Não Funcional,Sim,Usável
4,Sensor 4,Ruim,Não Funcional,Não Funcional,Sim,Não usável
5,Sensor 5,Ruim,Funcional,Funcional,Sim,Usável
6,Sensor 6,Regular,Funcional,Não Funcional,Sim,Não usável
7,Sensor 7,Bom,Não Funcional,Não Funcional,Sim,Não usável
8,Sensor 8,Regular,Não Funcional,Não Funcional,Não,Usável
9,Sensor 9,Bom,Não Funcional,Funcional,Não,Não usável
10,Sensor 10,Bom,Funcional,Não Funcional,Sim,Não usável
11,Sensor 11,Bom,Não Funcional,Não Funcional,Sim,Não usável
12,Sensor 12,Regular,Funcional,Não Funcional,Não,Usável
13,Sensor 13,Regular,Funcional,Funcional,Sim,Não usável
14,Sensor 14,Ruim,Não Funcional,Funcional,Sim,Não usável
15,Sensor 15,Ruim,Funcional,Funcional,Sim,Não usável
16,Sensor 16,Regular,Funcional,Funcional,Não,Não usável
17,Sensor 17,Bom,Não Funcional,Não Funcional,Não,Usável
18,Sensor 18,Bom,Não Funcional,Não Funcional,Sim,Usável
19,Sensor 19,Regular,Funcional,Não Funcional,Sim,Não usável
20,Sensor 20,Regular,Não Funcional,Funcional,Sim,Usável
21,Sensor 21,Regular,Não Funcional,Funcional,Sim,Usável
22,Sensor 22,Bom,Não Funcional,Não Funcional,Não,Usável
23,Sensor 23,Ruim,Funcional,Não Funcional,Sim,Não usável
24,Sensor 24,Regular,Não Funcional,Não Funcional,Sim,Não usável
25,Sensor 25,Ruim,Não Funcional,Não Funcional,Não,Não usável
26,Sensor 26,Bom,Funcional,Não Funcional,Não,Não usável
27,Sensor 27,Bom,Não Funcional,Funcional,Não,Não usável
28,Sensor 28,Regular,Funcional,Não Funcional,Não,Usável
29,Sensor 29,Bom,Não Funcional,Funcional,Não,Não usável
30,Sensor 30,Regular,Funcional,Funcional,Sim,Usável
31,Sensor 31,Bom,Não Funcional,Não Funcional,Não,Não usável
32,Sensor 32,Ruim,Funcional,Funcional,Sim,Não usável
33,Sensor 33,Bom,Não Funcional,Funcional,Não,Usável
34,Sensor 34,Bom,Funcional,Não Funcional,Sim,Usável
35,Sensor 35,Bom,Funcional,Não Funcional,Sim,Não usável
36,Sensor 36,Bom,Funcional,Funcional,Não,Não usável
37,Sensor 37,Ruim,Não Funcional,Não Funcional,Não,Usável
38,Sensor 38,Regular,Funcional,Funcional,Não,Não usável
39,Sensor 39,Ruim,Funcional,Não Funcional,Sim,Usável
40,Sensor 40,Bom,Funcional,Funcional,Sim,Usável
41,Sensor 41,Ruim,Não Funcional,Funcional,Não,Não usável
42,Sensor 42,Bom,Funcional,Funcional,Não,Não usável
43,Sensor 43,Bom,Não Funcional,Não Funcional,Sim,Usável
44,Sensor 44,Regular,Não Funcional,Não Funcional,Não,Usável
